Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C3;100n;C_0402_1005Metric;105.110000;-106.020000;270.000000;bottom
C4;20p;C_0402_1005Metric;114.360000;-106.640000;90.000000;bottom
C5;20p;C_0402_1005Metric;106.990000;-106.640000;270.000000;bottom
C6;100n;C_0402_1005Metric;113.890000;-102.570000;270.000000;bottom
C7;100n;C_0402_1005Metric;104.680000;-93.340000;180.000000;bottom
C8;100n;C_0402_1005Metric;113.980000;-91.340000;180.000000;bottom
C9;100n;C_0402_1005Metric;115.680000;-100.720000;0.000000;bottom
C10;1u;C_0402_1005Metric;108.850000;-102.710000;0.000000;bottom
C11;100n;C_0402_1005Metric;108.850000;-103.710000;0.000000;bottom
C12;10u;C_0402_1005Metric;92.620000;-58.340000;90.000000;bottom
CVR1;1uF;C_0402_1005Metric;87.280000;-55.510000;180.000000;bottom
CVR2;1uF;C_0402_1005Metric;91.500000;-58.335000;90.000000;bottom
D1;BAV70;SOT-23;63.500000;-51.593750;270.000000;bottom
D2;BAV70;SOT-23;63.500000;-71.437500;270.000000;bottom
D3;BAV70;SOT-23;63.500000;-89.693750;270.000000;bottom
D4;BAV70;SOT-23;63.500000;-108.743750;270.000000;bottom
D5;BAV70;SOT-23;82.550000;-125.412500;270.000000;bottom
D6;BAV70;SOT-23;101.600000;-52.008750;270.000000;bottom
D7;BAV70;SOT-23;101.600000;-71.437500;270.000000;bottom
D8;BAV70;SOT-23;101.600000;-89.487500;270.000000;bottom
D9;BAV70;SOT-23;101.600000;-108.743750;270.000000;bottom
J1;HRO-TYPE-C-31-M-12;HRO-TYPE-C-31-M-12-HandSoldering;82.570000;-36.140000;0.000000;bottom
R1;5.1k;R_0402_1005Metric;84.230000;-47.520000;90.000000;bottom
R2;5.1k;R_0402_1005Metric;80.820000;-47.670000;90.000000;bottom
R3;1.5k;R_0402_1005Metric;113.980000;-90.340000;180.000000;bottom
R4;10k;R_0402_1005Metric;116.350000;-97.790000;0.000000;bottom
U2;STM32F103CBTx;LQFP-48_7x7mm_P0.5mm;110.173821;-97.036588;90.000000;bottom
U3;XC6206P332MR;SOT-23;88.790000;-57.870000;180.000000;bottom
Y1;8MHz;Crystal_SMD_5032-2Pin_5.0x3.2mm;110.670000;-106.140000;0.000000;bottom
